date,area_name,road_name,traffic_volume,average_speed,travel_time_index,congestion_level,hour,day_of_week,month,is_weekend,weather_conditions,traffic_volume_lag_1,average_speed_lag_1,traffic_volume_rolling_3,average_speed_rolling_3
2022-01-01,Indiranagar,100 Feet Road,50590.0,50.23029856408026,1.5,100.0,0,5,1,1,Clear,50590.0,50.23029856408026,50590.0,50.23
2022-01-02,Indiranagar,100 Feet Road,22050.0,52.87084603742452,1.130159879263707,78.42982810236049,0,6,1,1,Fog,50590.0,50.23029856408026,50590.0,50.23
2022-01-03,Indiranagar,100 Feet Road,23457.0,38.86905317091622,1.380024786820322,87.20214293875112,0,0,1,0,Clear,22050.0,52.87084603742452,36320.0,51.55
2022-01-04,Indiranagar,100 Feet Road,46199.0,41.228499323474985,1.5,100.0,0,1,1,0,Clear,23457.0,38.86905317091622,32032.33,47.32
2022-01-05,Indiranagar,100 Feet Road,49952.0,50.80134095075202,1.5,100.0,0,2,1,0,Overcast,46199.0,41.228499323474985,30568.67,44.32
2022-01-06,Indiranagar,100 Feet Road,46556.0,46.59329803364248,1.5,100.0,0,3,1,0,Clear,49952.0,50.80134095075202,39869.33,43.63
2022-01-07,Indiranagar,100 Feet Road,24405.0,29.84255885002768,1.2371759739366812,82.95172415675621,0,4,1,0,Clear,46556.0,46.59329803364248,47569.0,46.21
2022-01-08,Indiranagar,100 Feet Road,36384.0,28.18948342525119,1.5,100.0,0,5,1,1,Rain,24405.0,29.84255885002768,40304.33,42.41
2022-01-10,Indiranagar,100 Feet Road,43024.0,28.070948022040927,1.5,100.0,0,0,1,0,Overcast,36384.0,28.18948342525119,35781.67,34.88
2022-01-11,Indiranagar,100 Feet Road,11423.0,20.0,1.0076769107292227,33.272930841567344,0,1,1,0,Clear,43024.0,28.070948022040927,34604.33,28.7
2022-01-13,Indiranagar,100 Feet Road,11371.0,51.02477209439482,1.1034483339552155,31.197460401979253,0,3,1,0,Clear,11423.0,20.0,30277.0,25.42
2022-01-14,Indiranagar,100 Feet Road,24545.0,51.50381788721268,1.224176252392176,74.0364560509363,0,4,1,0,Overcast,11371.0,51.02477209439482,21939.33,33.03
2022-01-15,Indiranagar,100 Feet Road,20081.0,52.32649360729083,1.291669395019779,69.98249963850546,0,5,1,1,Fog,24545.0,51.50381788721268,15779.67,40.84
2022-01-16,Indiranagar,100 Feet Road,37666.0,35.895806812552486,1.5,100.0,0,6,1,1,Clear,20081.0,52.32649360729083,18665.67,51.62
2022-01-17,Indiranagar,100 Feet Road,43778.0,45.58484543530325,1.5,100.0,0,0,1,0,Clear,37666.0,35.895806812552486,27430.67,46.58
